Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 620,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/thinkbook-intel-core-i5-1035g1-16gb-512gb-ssd-w10-pro-15-6-fhd-20sm003btx19-p-64970680,9.299 TL
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,AMD Radeon RX 640,Full HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/e14-intel-core-i5-10210u-8gb-256gb-ssd-rx640-w10-pro-14-fhd-20ra005gtxa19-p-63162133,"10.627,76 TL"
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,AMD Radeon RX 640,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,32 GB,Gri,1 TB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//lenovo/e14-intel-core-i7-10510u-32gb-1tb-ssd-rx640-freedos-14-fhd-20ras0wc00a4-bilgisayar-p-63129462,"14.018,77 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",DDR,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,IPS,16 GB,Gri,512 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/t15-i7-10510u-16gb-512gb-ssd-w10pro-15-6-fhd-20s6001ytx-p-65007559,13.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,512 GB,,,1366 x 768,,,7020U,7. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-s145-15ikb-intel-core-i3-7020u-4gb-512gb-ssd-freedos-15-6-81vd00e7tx16-p-64944631,6.399 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 620,Full HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/thinkbook-intel-core-i5-1035g1-16gb-1tb-256gb-ssd-w10-pro-15-6-fhd-20sm003btx21-p-64970515,9.319 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 620,Full HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/thinkbook-intel-core-i5-1035g1-8gb-1tb-512gb-ssd-freedos-15-6-fhd-20sm003btx6-p-64970641,8.349 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,256 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-e14-intel-core-i7-10510u-8gb-256gb-ssd-14-fhd-w10home-20rbs4mb26-p-64476781,8.499 TL
,,,2 kg ve Altı,Yok,"17,3 inç",DDR4,4 GB ve altı,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro T2000,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,DVD Yazıcı,,,32 GB,Gri,1 TB,,,1920 x 1080,,,9750H,9. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-20qr002atx04-p73-i7-9750h-32gb-1tb-1tb-ssd-windows-10-pro-t2000-17-3-fhd-nb-p-64475790,25.949 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,,,1 TB,Aydınlatmalı,Oyun,Yok,,,12 GB,Gri,512 GB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//lenovo/gaming-3-i7-10750h-12gb-1tb-512gb-ssd-81y400d5txz17-fdos-15-6-fhd-p-65093544,13.776 TL
